"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Bachelor Holder of a lower secondary education teaching degree : Electromechanics","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Electromechanics","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-de-la-ville-de-liege","Haute Ecole de la ville de Liège","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-en-hainaut","Haute Ecole en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-charlemagne","Haute Ecole Charlemagne","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French, Philosophy and Civic education","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-de-la-ville-de-liege","Haute Ecole de la ville de Liège","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-en-hainaut","Haute Ecole en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-charlemagne","Haute Ecole Charlemagne","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-ephec","Haute Ecole Ephec","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French as a foreign language","https://www.studyinbelgium.be/en/haute-ecole-leonard-de-vinci","Haute Ecole Léonard de Vinci","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and moral education","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and moral education","https://www.studyinbelgium.be/en/haute-ecole-en-hainaut","Haute Ecole en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and moral education","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-ephec","Haute Ecole Ephec","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : French and religion","https://www.studyinbelgium.be/en/haute-ecole-leonard-de-vinci","Haute Ecole Léonard de Vinci","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-en-hainaut","Haute Ecole en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-charlemagne","Haute Ecole Charlemagne","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : German, Dutch and English","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
